,MinEStateIndex,BCUT2D_MRHI,PEOE_VSA12,PEOE_VSA6,SMR_VSA2,SMR_VSA6,SlogP_VSA8,VSA_EState5,NumAliphaticCarbocycles,NumAromaticCarbocycles,NumAromaticRings,fr_Ar_N,fr_Ar_NH,fr_aniline,fr_imidazole
2369,0.9443541525651706,0.05167530101971429,0.0,0.25994469382385527,0.3333333333333333,0.14975035461968897,0.2961315215616199,0.7523756801099208,0.25,0.25,0.5714285714285714,0.625,0.3333333333333333,0.0,0.0
2370,0.22787702479740346,0.05166710014998088,0.0,0.07812651200567344,0.0,0.14975035461968897,0.2961315215616199,0.5052976908755084,0.25,0.0,0.42857142857142855,0.625,0.3333333333333333,0.0,0.0
2371,0.3638702859444637,0.051749903727841384,0.2030928476247925,0.07812651200567344,0.0,0.07487517730984448,0.2961315215616199,0.6662386644204823,0.25,0.0,0.42857142857142855,0.625,0.3333333333333333,0.0,0.0
2372,0.8788504264754495,0.05204886639595385,0.0,0.2886625801120517,0.0,0.0,0.29613152156161987,0.7212944933596738,0.25,0.0,0.42857142857142855,0.5,0.6666666666666666,0.0,0.5
2373,0.5145174388397771,0.2790343802761651,0.3446075515195833,0.0,0.0,0.2773767145511203,0.19742101437441326,0.7669682292012372,0.25,0.0,0.2857142857142857,0.375,0.3333333333333333,0.16666666666666666,0.0
2374,0.9011197783256285,0.1004656320741193,0.2030928476247925,0.17384884350222715,0.0,0.21057698662149918,0.4011842957371859,0.7381135747692352,0.0,0.0,0.42857142857142855,0.5,0.3333333333333333,0.16666666666666666,0.0
2375,0.5001809067610672,0.2790003829341825,0.3446075515195833,0.20751485935945807,0.0,0.27639241306786866,0.40118429573718595,0.743692838908768,0.0,0.0,0.42857142857142855,0.5,0.0,0.16666666666666666,0.0
2376,0.9121739770174514,0.02096968078427741,0.20450794094030048,0.4548347706824539,0.0,0.7180176259096275,0.20142866100517973,0.7244670539155558,0.0,0.5,0.42857142857142855,0.25,0.0,0.5,0.0
2377,0.49960943050062895,0.2790010222769689,0.3446075515195833,0.0,0.0,0.3522518918609648,0.19742101437441326,0.7677465766324607,0.25,0.0,0.2857142857142857,0.375,0.3333333333333333,0.16666666666666666,0.0
2378,0.9043833349833774,0.09579093733069466,0.40760078856509296,0.26475793441131806,0.0,0.5280492342753267,0.3001391681923864,0.758571047356264,0.0,0.5,0.5714285714285714,0.375,0.0,0.3333333333333333,0.0
2379,0.4989130165440401,0.2809492192335956,0.20450794094030048,0.27272727272727276,0.0,0.5685824758123988,0.30247378854997925,0.7207117762911471,0.0,0.5,0.5714285714285714,0.5,0.0,0.5,0.0
2380,0.838770242848005,0.03626599798615027,0.20450794094030048,0.36363636363636365,0.0,0.2919165076859235,0.3001391681923864,0.7381770099490308,0.0,0.5,0.5714285714285714,0.375,0.0,0.3333333333333333,0.0
2381,0.49816799073957735,0.28094971302880234,0.40760078856509296,0.27272727272727276,0.0,0.5628288784824639,0.3001391681923864,0.7071619662481736,0.0,0.5,0.5714285714285714,0.375,0.0,0.5,0.0
2382,0.4977775650680917,0.28119533998080926,0.20450794094030048,0.36363636363636365,0.0,0.4944056379303219,0.3001391681923864,0.7481456644569995,0.0,0.5,0.5714285714285714,0.375,0.0,0.3333333333333333,0.0
2383,0.8414104919461565,0.06945822078146413,0.0,0.18181818181818182,0.0,0.07558592373448932,0.5006142648471457,0.6833401219464079,0.0,0.25,0.5714285714285714,0.625,0.3333333333333333,0.0,0.0
